gene_name,in_ncg,in_civic,external_source_count,external_sources,max_external_evidence_score,consensus_label,consensus_confidence,high_confidence_label
TFF2,False,False,0,,0.0,0,negative_candidate,0.0
TFF1,False,False,0,,0.0,0,negative_candidate,0.0
VSIG1,False,False,0,,0.0,0,negative_candidate,0.0
MUC13,False,False,0,,0.0,0,negative_candidate,0.0
B3GNT3,False,False,0,,0.0,0,negative_candidate,0.0
CXCL13,False,False,0,,0.0,0,negative_candidate,0.0
CA9,False,False,0,,0.0,0,negative_candidate,0.0
SST,False,False,0,,0.0,0,negative_candidate,0.0
ERICH3,False,False,0,,0.0,0,negative_candidate,0.0
SPRR1B,False,False,0,,0.0,0,negative_candidate,0.0
FBN2,True,False,1,NCG,1.0,1,single_source_positive,
ASCL1,False,True,1,CIViC,0.9,1,single_source_positive,
KRT81,False,False,0,,0.0,0,negative_candidate,0.0
DNAH9,True,False,1,NCG,1.0,1,single_source_positive,
ABCA13,True,False,1,NCG,1.0,1,single_source_positive,
ARSL,False,False,0,,0.0,0,negative_candidate,0.0
HS6ST2,False,False,0,,0.0,0,negative_candidate,0.0
PYCARD,False,False,0,,0.0,0,negative_candidate,0.0
UCN3,False,False,0,,0.0,0,negative_candidate,0.0
FGB,True,False,1,NCG,1.0,1,single_source_positive,
FERMT1,False,False,0,,0.0,0,negative_candidate,0.0
HABP2,False,False,0,,0.0,0,negative_candidate,0.0
MUC5AC,False,False,0,,0.0,0,negative_candidate,0.0
SERPIND1,False,False,0,,0.0,0,negative_candidate,0.0
MYEOV,False,False,0,,0.0,0,negative_candidate,0.0
APOB,True,False,1,NCG,1.0,1,single_source_positive,
MUC5B,False,False,0,,0.0,0,negative_candidate,0.0
AMBP,False,False,0,,0.0,0,negative_candidate,0.0
AOC1,False,False,0,,0.0,0,negative_candidate,0.0
NMU,False,False,0,,0.0,0,negative_candidate,0.0
CYP24A1,False,False,0,,0.0,0,negative_candidate,0.0
MMP13,True,False,1,NCG,1.0,1,single_source_positive,
TMPRSS11E,False,False,0,,0.0,0,negative_candidate,0.0
MXRA5,True,False,1,NCG,1.0,1,single_source_positive,
SCG5,False,False,0,,0.0,0,negative_candidate,0.0
PITX1,False,False,0,,0.0,0,negative_candidate,0.0
NELL1,False,False,0,,0.0,0,negative_candidate,0.0
GSTA2,False,False,0,,0.0,0,negative_candidate,0.0
MEX3A,False,False,0,,0.0,0,negative_candidate,0.0
WFDC3,False,False,0,,0.0,0,negative_candidate,0.0
GJB1,False,False,0,,0.0,0,negative_candidate,0.0
BPIFA2,False,False,0,,0.0,0,negative_candidate,0.0
KLK13,False,False,0,,0.0,0,negative_candidate,0.0
FAM111B,True,False,1,NCG,1.0,1,single_source_positive,
HEPACAM2,True,False,1,NCG,1.0,1,single_source_positive,
ADAMTS12,True,False,1,NCG,1.0,1,single_source_positive,
IGFBPL1,False,False,0,,0.0,0,negative_candidate,0.0
COL10A1,False,False,0,,0.0,0,negative_candidate,0.0
IVL,False,False,0,,0.0,0,negative_candidate,0.0
VTCN1,False,False,0,,0.0,0,negative_candidate,0.0
GINS1,True,False,1,NCG,1.0,1,single_source_positive,
PLA2G2D,False,False,0,,0.0,0,negative_candidate,0.0
NAV3,True,False,1,NCG,1.0,1,single_source_positive,
RHBDL2,False,False,0,,0.0,0,negative_candidate,0.0
EPN3,False,False,0,,0.0,0,negative_candidate,0.0
ACY3,False,False,0,,0.0,0,negative_candidate,0.0
PTPRH,False,False,0,,0.0,0,negative_candidate,0.0
MSMB,False,False,0,,0.0,0,negative_candidate,0.0
PAPPA2,False,True,1,CIViC,0.9,1,single_source_positive,
RELN,True,False,1,NCG,1.0,1,single_source_positive,
IGHV1OR15-9,False,False,0,,0.0,0,negative_candidate,0.0
NXPH4,False,False,0,,0.0,0,negative_candidate,0.0
NTS,False,False,0,,0.0,0,negative_candidate,0.0
ADAMTS16,False,False,0,,0.0,0,negative_candidate,0.0
CRABP1,False,False,0,,0.0,0,negative_candidate,0.0
ARL14,False,False,0,,0.0,0,negative_candidate,0.0
MAGEC2,True,False,1,NCG,1.0,1,single_source_positive,
SAPCD2,False,False,0,,0.0,0,negative_candidate,0.0
CHGA,True,False,1,NCG,1.0,1,single_source_positive,
JSRP1,False,False,0,,0.0,0,negative_candidate,0.0
SP5,False,False,0,,0.0,0,negative_candidate,0.0
INSL4,False,False,0,,0.0,0,negative_candidate,0.0
CLGN,False,False,0,,0.0,0,negative_candidate,0.0
SKA3,False,False,0,,0.0,0,negative_candidate,0.0
CTNND2,True,False,1,NCG,1.0,1,single_source_positive,
CDH17,True,False,1,NCG,1.0,1,single_source_positive,
SERPINB3,False,False,0,,0.0,0,negative_candidate,0.0
IL37,False,False,0,,0.0,0,negative_candidate,0.0
ZNF804A,True,False,1,NCG,1.0,1,single_source_positive,
LRRIQ1,True,False,1,NCG,1.0,1,single_source_positive,
GAL,False,False,0,,0.0,0,negative_candidate,0.0
SLC44A5,True,False,1,NCG,1.0,1,single_source_positive,
PIMREG,False,False,0,,0.0,0,negative_candidate,0.0
RAD51,False,True,1,CIViC,1.0,1,single_source_positive,
ABCA12,False,False,0,,0.0,0,negative_candidate,0.0
SKA1,False,False,0,,0.0,0,negative_candidate,0.0
IGLV1-50,False,False,0,,0.0,0,negative_candidate,0.0
DKK4,False,False,0,,0.0,0,negative_candidate,0.0
CD1A,True,False,1,NCG,1.0,1,single_source_positive,
ENPP3,False,False,0,,0.0,0,negative_candidate,0.0
AKR1B15,False,False,0,,0.0,0,negative_candidate,0.0
MAP10,False,False,0,,0.0,0,negative_candidate,0.0
GNG4,False,False,0,,0.0,0,negative_candidate,0.0
H4C2,True,False,1,NCG,1.0,1,single_source_positive,
CNTNAP2,True,False,1,NCG,1.0,1,single_source_positive,
PXDNL,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
CGREF1,False,False,0,,0.0,0,negative_candidate,0.0
CST4,False,False,0,,0.0,0,negative_candidate,0.0
FABP7,False,False,0,,0.0,0,negative_candidate,0.0
CCNP,False,False,0,,0.0,0,negative_candidate,0.0
PCSK1,False,False,0,,0.0,0,negative_candidate,0.0
IGHV7-81,False,False,0,,0.0,0,negative_candidate,0.0
DDC,False,False,0,,0.0,0,negative_candidate,0.0
GPRIN1,True,False,1,NCG,1.0,1,single_source_positive,
KLB,False,False,0,,0.0,0,negative_candidate,0.0
RBBP8NL,False,False,0,,0.0,0,negative_candidate,0.0
RIMS2,True,False,1,NCG,1.0,1,single_source_positive,
HOXB8,False,False,0,,0.0,0,negative_candidate,0.0
KRT16,False,False,0,,0.0,0,negative_candidate,0.0
RIBC2,False,False,0,,0.0,0,negative_candidate,0.0
SBSN,True,False,1,NCG,1.0,1,single_source_positive,
PTHLH,False,False,0,,0.0,0,negative_candidate,0.0
CPS1,True,False,1,NCG,1.0,1,single_source_positive,
SPRR2A,False,False,0,,0.0,0,negative_candidate,0.0
SOX21,True,False,1,NCG,1.0,1,single_source_positive,
CHGB,False,False,0,,0.0,0,negative_candidate,0.0
ENTPD8,False,False,0,,0.0,0,negative_candidate,0.0
RPS6KA6,False,False,0,,0.0,0,negative_candidate,0.0
COL25A1,True,False,1,NCG,1.0,1,single_source_positive,
ANXA2R,False,False,0,,0.0,0,negative_candidate,0.0
XRCC2,False,False,0,,0.0,0,negative_candidate,0.0
PCSK2,False,False,0,,0.0,0,negative_candidate,0.0
RGS17,False,False,0,,0.0,0,negative_candidate,0.0
DLX3,False,False,0,,0.0,0,negative_candidate,0.0
TRBV3-1,False,False,0,,0.0,0,negative_candidate,0.0
SATB2,True,False,1,NCG,1.0,1,single_source_positive,
RAB26,False,False,0,,0.0,0,negative_candidate,0.0
SPTSSB,False,False,0,,0.0,0,negative_candidate,0.0
SEPTIN3,False,False,0,,0.0,0,negative_candidate,0.0
CHRNA9,False,False,0,,0.0,0,negative_candidate,0.0
B3GNT6,False,False,0,,0.0,0,negative_candidate,0.0
C1QL2,True,False,1,NCG,1.0,1,single_source_positive,
L1CAM,False,False,0,,0.0,0,negative_candidate,0.0
CENPF,True,False,1,NCG,1.0,1,single_source_positive,
PLAAT1,False,False,0,,0.0,0,negative_candidate,0.0
FGF19,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
CXXC4,True,False,1,NCG,1.0,1,single_source_positive,
FAM83A,False,False,0,,0.0,0,negative_candidate,0.0
C7ORF57,False,False,0,,0.0,0,negative_candidate,0.0
CSMD1,False,False,0,,0.0,0,negative_candidate,0.0
NF1,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
ALKAL1,False,False,0,,0.0,0,negative_candidate,0.0
IGLV5-48,False,False,0,,0.0,0,negative_candidate,0.0
GTSF1,False,False,0,,0.0,0,negative_candidate,0.0
TAC4,False,False,0,,0.0,0,negative_candidate,0.0
SPP2,False,False,0,,0.0,0,negative_candidate,0.0
SPINK13,False,False,0,,0.0,0,negative_candidate,0.0
MAGEC1,True,False,1,NCG,1.0,1,single_source_positive,
CILP2,True,False,1,NCG,1.0,1,single_source_positive,
WDR49,False,False,0,,0.0,0,negative_candidate,0.0
IGFL2,False,False,0,,0.0,0,negative_candidate,0.0
TTK,True,False,1,NCG,1.0,1,single_source_positive,
PRB4,True,False,1,NCG,1.0,1,single_source_positive,
ARHGEF4,False,False,0,,0.0,0,negative_candidate,0.0
PAGE2B,False,False,0,,0.0,0,negative_candidate,0.0
MMP10,False,False,0,,0.0,0,negative_candidate,0.0
IGLV3-22,False,False,0,,0.0,0,negative_candidate,0.0
MSTN,False,False,0,,0.0,0,negative_candidate,0.0
MT1H,True,False,1,NCG,1.0,1,single_source_positive,
H2BC10,False,False,0,,0.0,0,negative_candidate,0.0
PAGE1,False,False,0,,0.0,0,negative_candidate,0.0
RIPPLY3,False,False,0,,0.0,0,negative_candidate,0.0
ZFP69B,False,False,0,,0.0,0,negative_candidate,0.0
TNIP3,False,False,0,,0.0,0,negative_candidate,0.0
TP73,True,False,1,NCG,1.0,1,single_source_positive,
HPDL,False,False,0,,0.0,0,negative_candidate,0.0
AGMAT,False,False,0,,0.0,0,negative_candidate,0.0
MAGEB2,False,False,0,,0.0,0,negative_candidate,0.0
TRGJP2,False,False,0,,0.0,0,negative_candidate,0.0
XKR9,False,False,0,,0.0,0,negative_candidate,0.0
CLDN8,False,False,0,,0.0,0,negative_candidate,0.0
OVOL1,False,False,0,,0.0,0,negative_candidate,0.0
KLHL35,False,False,0,,0.0,0,negative_candidate,0.0
FANCM,True,False,1,NCG,1.0,1,single_source_positive,
NIPAL1,False,False,0,,0.0,0,negative_candidate,0.0
SERPINB5,False,False,0,,0.0,0,negative_candidate,0.0
MCM10,False,False,0,,0.0,0,negative_candidate,0.0
TRBV2,False,False,0,,0.0,0,negative_candidate,0.0
CP,False,False,0,,0.0,0,negative_candidate,0.0
UGT8,False,False,0,,0.0,0,negative_candidate,0.0
RP1,False,False,0,,0.0,0,negative_candidate,0.0
NALCN,True,False,1,NCG,1.0,1,single_source_positive,
SLC38A4,False,False,0,,0.0,0,negative_candidate,0.0
KISS1R,False,False,0,,0.0,0,negative_candidate,0.0
KRT17,False,False,0,,0.0,0,negative_candidate,0.0
H4C12,False,False,0,,0.0,0,negative_candidate,0.0
BNIP5,False,False,0,,0.0,0,negative_candidate,0.0
BRCA2,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
TNS4,True,False,1,NCG,1.0,1,single_source_positive,
ALDOB,False,False,0,,0.0,0,negative_candidate,0.0
SPRR2F,False,False,0,,0.0,0,negative_candidate,0.0
C5ORF46,False,False,0,,0.0,0,negative_candidate,0.0
IGKV6D-21,False,False,0,,0.0,0,negative_candidate,0.0
TRBV6-1,False,False,0,,0.0,0,negative_candidate,0.0
TRAV12-2,False,False,0,,0.0,0,negative_candidate,0.0
SPIB,True,False,1,NCG,1.0,1,single_source_positive,
CRABP2,False,True,1,CIViC,0.9,1,single_source_positive,
FGL1,False,False,0,,0.0,0,negative_candidate,0.0
ZNF683,False,False,0,,0.0,0,negative_candidate,0.0
COL22A1,True,False,1,NCG,1.0,1,single_source_positive,
PIPOX,False,False,0,,0.0,0,negative_candidate,0.0
DNER,True,False,1,NCG,1.0,1,single_source_positive,
PRELID2,False,False,0,,0.0,0,negative_candidate,0.0
ASTN1,True,False,1,NCG,1.0,1,single_source_positive,
H2AC16,True,False,1,NCG,1.0,1,single_source_positive,
GPR18,False,False,0,,0.0,0,negative_candidate,0.0
COX7B2,False,False,0,,0.0,0,negative_candidate,0.0
TRAV12-1,False,False,0,,0.0,0,negative_candidate,0.0
DMD,True,False,1,NCG,1.0,1,single_source_positive,
ASTN2,True,False,1,NCG,1.0,1,single_source_positive,
NSG2,False,False,0,,0.0,0,negative_candidate,0.0
CCDC160,False,False,0,,0.0,0,negative_candidate,0.0
IGKV3D-7,False,False,0,,0.0,0,negative_candidate,0.0
TRAV12-3,False,False,0,,0.0,0,negative_candidate,0.0
CKAP2L,False,False,0,,0.0,0,negative_candidate,0.0
TRAV2,False,False,0,,0.0,0,negative_candidate,0.0
BCAS1,False,False,0,,0.0,0,negative_candidate,0.0
AKR1C4,False,False,0,,0.0,0,negative_candidate,0.0
SOX11,True,False,1,NCG,1.0,1,single_source_positive,
CKMT1A,False,False,0,,0.0,0,negative_candidate,0.0
RGS20,False,False,0,,0.0,0,negative_candidate,0.0
HMGB3,False,False,0,,0.0,0,negative_candidate,0.0
KIF1A,True,False,1,NCG,1.0,1,single_source_positive,
MYBPH,False,False,0,,0.0,0,negative_candidate,0.0
OTUB2,False,False,0,,0.0,0,negative_candidate,0.0
NPFFR2,False,False,0,,0.0,0,negative_candidate,0.0
PON1,True,False,1,NCG,1.0,1,single_source_positive,
EPHA7,True,False,1,NCG,1.0,1,single_source_positive,
HHIPL2,False,False,0,,0.0,0,negative_candidate,0.0
HES2,False,False,0,,0.0,0,negative_candidate,0.0
DLX5,False,False,0,,0.0,0,negative_candidate,0.0
IGLV2-33,False,False,0,,0.0,0,negative_candidate,0.0
H3C1,False,False,0,,0.0,0,negative_candidate,0.0
H4C13,False,False,0,,0.0,0,negative_candidate,0.0
CDH10,True,False,1,NCG,1.0,1,single_source_positive,
TSACC,False,False,0,,0.0,0,negative_candidate,0.0
IGHV6-1,False,False,0,,0.0,0,negative_candidate,0.0
NDP,False,False,0,,0.0,0,negative_candidate,0.0
ESCO2,False,False,0,,0.0,0,negative_candidate,0.0
AFP,False,False,0,,0.0,0,negative_candidate,0.0
NKX2-8,False,False,0,,0.0,0,negative_candidate,0.0
FAM81A,False,False,0,,0.0,0,negative_candidate,0.0
POSTN,False,False,0,,0.0,0,negative_candidate,0.0
TFR2,False,False,0,,0.0,0,negative_candidate,0.0
KBTBD12,False,False,0,,0.0,0,negative_candidate,0.0
EXO1,False,False,0,,0.0,0,negative_candidate,0.0
CCR8,False,False,0,,0.0,0,negative_candidate,0.0
PIK3C2G,True,False,1,NCG,1.0,1,single_source_positive,
KLHDC8A,False,False,0,,0.0,0,negative_candidate,0.0
HOXC12,False,False,0,,0.0,0,negative_candidate,0.0
ARMC3,False,False,0,,0.0,0,negative_candidate,0.0
IGHV2-70,False,False,0,,0.0,0,negative_candidate,0.0
AKR1C2,True,False,1,NCG,1.0,1,single_source_positive,
EIF5AL1,False,False,0,,0.0,0,negative_candidate,0.0
GPX2,False,False,0,,0.0,0,negative_candidate,0.0
FER1L6,False,False,0,,0.0,0,negative_candidate,0.0
IGHV3OR16-8,False,False,0,,0.0,0,negative_candidate,0.0
TBX15,False,False,0,,0.0,0,negative_candidate,0.0
CD207,False,False,0,,0.0,0,negative_candidate,0.0
SPRR2E,False,False,0,,0.0,0,negative_candidate,0.0
MUC6,True,False,1,NCG,1.0,1,single_source_positive,
DYDC2,False,False,0,,0.0,0,negative_candidate,0.0
CAPN6,False,False,0,,0.0,0,negative_candidate,0.0
DIO2,False,False,0,,0.0,0,negative_candidate,0.0
HSPB9,False,False,0,,0.0,0,negative_candidate,0.0
FAM50B,False,False,0,,0.0,0,negative_candidate,0.0
TP63,True,False,1,NCG,1.0,1,single_source_positive,
TTC6,False,False,0,,0.0,0,negative_candidate,0.0
HHLA2,True,False,1,NCG,1.0,1,single_source_positive,
VWA3B,False,False,0,,0.0,0,negative_candidate,0.0
MNX1,False,True,1,CIViC,1.0,1,single_source_positive,
TET1,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
SPTA1,True,False,1,NCG,1.0,1,single_source_positive,
H3C13,False,False,0,,0.0,0,negative_candidate,0.0
CDC20,True,False,1,NCG,1.0,1,single_source_positive,
IGLV3-27,False,False,0,,0.0,0,negative_candidate,0.0
VGLL2,False,True,1,CIViC,1.0,1,single_source_positive,
MIPOL1,False,False,0,,0.0,0,negative_candidate,0.0
PODXL2,False,False,0,,0.0,0,negative_candidate,0.0
LGALS4,False,False,0,,0.0,0,negative_candidate,0.0
TNR,True,False,1,NCG,1.0,1,single_source_positive,
IGLV2-18,False,False,0,,0.0,0,negative_candidate,0.0
CPNE4,False,False,0,,0.0,0,negative_candidate,0.0
TRAV9-2,False,False,0,,0.0,0,negative_candidate,0.0
OIP5,False,False,0,,0.0,0,negative_candidate,0.0
DNAJC28,True,False,1,NCG,1.0,1,single_source_positive,
TRAJ31,False,False,0,,0.0,0,negative_candidate,0.0
IGKV1D-42,False,False,0,,0.0,0,negative_candidate,0.0
MTMR8,True,False,1,NCG,1.0,1,single_source_positive,
NAT8L,True,False,1,NCG,1.0,1,single_source_positive,
LBX2,False,False,0,,0.0,0,negative_candidate,0.0
FSTL5,True,False,1,NCG,1.0,1,single_source_positive,
FANCB,False,False,0,,0.0,0,negative_candidate,0.0
ADAMDEC1,False,False,0,,0.0,0,negative_candidate,0.0
MAP1LC3B2,False,False,0,,0.0,0,negative_candidate,0.0
IGLV9-49,False,False,0,,0.0,0,negative_candidate,0.0
PPP1R1C,False,False,0,,0.0,0,negative_candidate,0.0
DAPL1,False,False,0,,0.0,0,negative_candidate,0.0
GAGE2A,False,False,0,,0.0,0,negative_candidate,0.0
ADH1C,False,False,0,,0.0,0,negative_candidate,0.0
CASP14,False,False,0,,0.0,0,negative_candidate,0.0
PKHD1,True,False,1,NCG,1.0,1,single_source_positive,
ABCA4,False,False,0,,0.0,0,negative_candidate,0.0
SCN3A,True,False,1,NCG,1.0,1,single_source_positive,
IGLV1-36,False,False,0,,0.0,0,negative_candidate,0.0
CSMD2,True,False,1,NCG,1.0,1,single_source_positive,
SYT2,False,False,0,,0.0,0,negative_candidate,0.0
LRRC15,False,False,0,,0.0,0,negative_candidate,0.0
ASXL3,True,False,1,NCG,1.0,1,single_source_positive,
PTPRD,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
ZMAT4,False,False,0,,0.0,0,negative_candidate,0.0
ZIC2,False,False,0,,0.0,0,negative_candidate,0.0
RASAL1,True,False,1,NCG,1.0,1,single_source_positive,
CCL20,False,False,0,,0.0,0,negative_candidate,0.0
KIF15,False,False,0,,0.0,0,negative_candidate,0.0
IGKV1D-17,False,False,0,,0.0,0,negative_candidate,0.0
DNAH3,True,False,1,NCG,1.0,1,single_source_positive,
CD79A,True,False,1,NCG,1.0,1,single_source_positive,
CLCA2,False,False,0,,0.0,0,negative_candidate,0.0
TENM4,False,False,0,,0.0,0,negative_candidate,0.0
ZNF474,False,False,0,,0.0,0,negative_candidate,0.0
EGF,False,True,1,CIViC,1.0,1,single_source_positive,
HTR3A,False,False,0,,0.0,0,negative_candidate,0.0
BTLA,True,False,1,NCG,1.0,1,single_source_positive,
ARL9,False,False,0,,0.0,0,negative_candidate,0.0
F2RL2,False,False,0,,0.0,0,negative_candidate,0.0
IGKV2D-28,False,False,0,,0.0,0,negative_candidate,0.0
TRAV29DV5,False,False,0,,0.0,0,negative_candidate,0.0
TOX3,True,False,1,NCG,1.0,1,single_source_positive,
REG4,False,False,0,,0.0,0,negative_candidate,0.0
RYR3,False,False,0,,0.0,0,negative_candidate,0.0
ATP10B,True,False,1,NCG,1.0,1,single_source_positive,
GLDC,False,False,0,,0.0,0,negative_candidate,0.0
IGLV4-60,False,False,0,,0.0,0,negative_candidate,0.0
QPCT,False,False,0,,0.0,0,negative_candidate,0.0
PSG4,False,False,0,,0.0,0,negative_candidate,0.0
C1QL3,False,False,0,,0.0,0,negative_candidate,0.0
H2BC6,False,False,0,,0.0,0,negative_candidate,0.0
TNNI1,False,False,0,,0.0,0,negative_candidate,0.0
CDH18,True,False,1,NCG,1.0,1,single_source_positive,
SRCIN1,False,False,0,,0.0,0,negative_candidate,0.0
COMP,False,False,0,,0.0,0,negative_candidate,0.0
H4C4,True,False,1,NCG,1.0,1,single_source_positive,
ITPRID1,True,False,1,NCG,1.0,1,single_source_positive,
MCMDC2,False,False,0,,0.0,0,negative_candidate,0.0
FOXJ1,False,False,0,,0.0,0,negative_candidate,0.0
NPY,False,False,0,,0.0,0,negative_candidate,0.0
SPRR1A,False,False,0,,0.0,0,negative_candidate,0.0
CELF4,True,False,1,NCG,1.0,1,single_source_positive,
B3GNT4,False,False,0,,0.0,0,negative_candidate,0.0
IGHV4-61,False,False,0,,0.0,0,negative_candidate,0.0
KRT6B,False,False,0,,0.0,0,negative_candidate,0.0
PAICS,False,False,0,,0.0,0,negative_candidate,0.0
DSG3,False,False,0,,0.0,0,negative_candidate,0.0
TRAV13-2,False,False,0,,0.0,0,negative_candidate,0.0
BAAT,False,False,0,,0.0,0,negative_candidate,0.0
TRAJ16,False,False,0,,0.0,0,negative_candidate,0.0
IGKV1D-8,False,False,0,,0.0,0,negative_candidate,0.0
NRK,True,False,1,NCG,1.0,1,single_source_positive,
CLSPN,False,False,0,,0.0,0,negative_candidate,0.0
RAB39A,False,False,0,,0.0,0,negative_candidate,0.0
FMO1,False,False,0,,0.0,0,negative_candidate,0.0
TRAJ18,False,False,0,,0.0,0,negative_candidate,0.0
ANK1,True,False,1,NCG,1.0,1,single_source_positive,
CENPE,False,False,0,,0.0,0,negative_candidate,0.0
SLITRK4,False,False,0,,0.0,0,negative_candidate,0.0
PTPN20,False,False,0,,0.0,0,negative_candidate,0.0
GREB1,False,True,1,CIViC,0.9,1,single_source_positive,
IGHV3-38,False,False,0,,0.0,0,negative_candidate,0.0
TNN,True,False,1,NCG,1.0,1,single_source_positive,
MIXL1,False,False,0,,0.0,0,negative_candidate,0.0
NSG1,False,False,0,,0.0,0,negative_candidate,0.0
PNOC,False,False,0,,0.0,0,negative_candidate,0.0
C2CD6,True,False,1,NCG,1.0,1,single_source_positive,
ORM1,False,False,0,,0.0,0,negative_candidate,0.0
RAB41,False,False,0,,0.0,0,negative_candidate,0.0
SH3BGRL2,False,False,0,,0.0,0,negative_candidate,0.0
NPAS1,False,False,0,,0.0,0,negative_candidate,0.0
KCNQ5,True,False,1,NCG,1.0,1,single_source_positive,
FAM83B,True,False,1,NCG,1.0,1,single_source_positive,
EPHB1,True,False,1,NCG,1.0,1,single_source_positive,
HCN2,False,False,0,,0.0,0,negative_candidate,0.0
ETNPPL,False,False,0,,0.0,0,negative_candidate,0.0
RDM1,False,False,0,,0.0,0,negative_candidate,0.0
MAGEA10,False,False,0,,0.0,0,negative_candidate,0.0
ZNF536,True,False,1,NCG,1.0,1,single_source_positive,
CCDC110,False,False,0,,0.0,0,negative_candidate,0.0
H4C11,True,False,1,NCG,1.0,1,single_source_positive,
SMPDL3B,False,False,0,,0.0,0,negative_candidate,0.0
GOLT1A,False,False,0,,0.0,0,negative_candidate,0.0
PLAC1,False,False,0,,0.0,0,negative_candidate,0.0
IGKV2D-30,False,False,0,,0.0,0,negative_candidate,0.0
TRAV5,False,False,0,,0.0,0,negative_candidate,0.0
CDCA2,False,False,0,,0.0,0,negative_candidate,0.0
PTPRT,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
FEN1,True,False,1,NCG,1.0,1,single_source_positive,
CALY,False,False,0,,0.0,0,negative_candidate,0.0
PLS1,False,False,0,,0.0,0,negative_candidate,0.0
MAP7,True,False,1,NCG,1.0,1,single_source_positive,
NR0B1,False,False,0,,0.0,0,negative_candidate,0.0
IGLV10-54,False,False,0,,0.0,0,negative_candidate,0.0
PDE10A,False,False,0,,0.0,0,negative_candidate,0.0
TLCD1,False,False,0,,0.0,0,negative_candidate,0.0
TRAV1-2,False,False,0,,0.0,0,negative_candidate,0.0
GPR37,False,False,0,,0.0,0,negative_candidate,0.0
ERICH5,False,False,0,,0.0,0,negative_candidate,0.0
FUT3,False,False,0,,0.0,0,negative_candidate,0.0
NBAS,False,False,0,,0.0,0,negative_candidate,0.0
NRIP1,True,False,1,NCG,1.0,1,single_source_positive,
SERPINA4,True,False,1,NCG,1.0,1,single_source_positive,
C15ORF48,True,False,1,NCG,1.0,1,single_source_positive,
SLC26A4,False,False,0,,0.0,0,negative_candidate,0.0
EFNA4,False,False,0,,0.0,0,negative_candidate,0.0
MUCL1,False,False,0,,0.0,0,negative_candidate,0.0
AKR1B10,True,False,1,NCG,1.0,1,single_source_positive,
TRAJ9,False,False,0,,0.0,0,negative_candidate,0.0
SHISA3,False,False,0,,0.0,0,negative_candidate,0.0
COL2A1,True,False,1,NCG,1.0,1,single_source_positive,
PTTG1,False,True,1,CIViC,1.0,1,single_source_positive,
FAT4,True,False,1,NCG,1.0,1,single_source_positive,
NMNAT2,False,False,0,,0.0,0,negative_candidate,0.0
TAS2R19,False,False,0,,0.0,0,negative_candidate,0.0
HNF1A,True,False,1,NCG,1.0,1,single_source_positive,
TRDJ1,False,False,0,,0.0,0,negative_candidate,0.0
TRAJ23,False,False,0,,0.0,0,negative_candidate,0.0
C8ORF34,False,False,0,,0.0,0,negative_candidate,0.0
